t,mmsi,latitude,longitude,sog
2021-01-08 00:00:00,265513270,57.059,12.272388,0
2021-01-08 00:00:01,219027804,55.94244,11.866278,0
2021-01-08 00:00:01,265513270,57.059,12.272388,0
2021-01-08 00:00:03,219027804,55.94244,11.866278,0
2021-01-08 00:00:04,265513270,57.059,12.272388,0
2021-01-08 00:00:04,566948000,55.574352,4.617153,0.5
2021-01-08 00:00:05,219001559,57.592245,9.975512,0.1
2021-01-08 00:00:05,219027804,55.94244,11.866278,0
2021-01-08 00:00:05,566948000,55.574352,4.617153,0.5
2021-01-08 00:00:07,219027804,55.94244,11.86628,0
2021-01-08 00:00:07,265513270,57.059,12.272387,0.1
2021-01-08 00:00:08,265513270,57.059,12.272387,0.1
2021-01-08 00:00:09,219027804,55.94244,11.86628,0
2021-01-08 00:00:11,219001559,57.59226,9.975513,0.1
2021-01-08 00:00:11,219027804,55.94244,11.866278,0
2021-01-08 00:00:13,219027804,55.94244,11.86628,0
2021-01-08 00:00:14,265513270,57.059,12.272387,0.2
2021-01-08 00:00:15,219027804,55.94244,11.86628,0
2021-01-08 00:00:16,219027804,55.942447,11.86628,0
2021-01-08 00:00:18,219001559,57.59226,9.9755,0.1
2021-01-08 00:00:18,219027804,55.942447,11.866282,0
2021-01-08 00:00:18,265513270,57.059,12.272388,0
2021-01-08 00:00:20,265513270,57.059,12.272387,0.1
2021-01-08 00:00:21,219027804,55.942447,11.866283,0
2021-01-08 00:00:21,265513270,57.059,12.272388,0.1
2021-01-08 00:00:23,219027804,55.94244,11.866283,0
2021-01-08 00:00:24,219001559,57.59226,9.9755,0.1
2021-01-08 00:00:24,265513270,57.059,12.272387,0
2021-01-08 00:00:24,566948000,55.574295,4.61713,0.5
2021-01-08 00:00:26,566948000,55.574292,4.617127,0.6
2021-01-08 00:00:27,219027804,55.94244,11.866288,0
2021-01-08 00:00:27,566948000,55.574292,4.617127,0.6
2021-01-08 00:00:28,265513270,57.059,12.272387,0.1
2021-01-08 00:00:29,219027804,55.94244,11.866288,0
2021-01-08 00:00:30,566948000,55.57428,4.617125,0.6
2021-01-08 00:00:31,219001559,57.592252,9.975492,0.1
2021-01-08 00:00:31,265513270,57.059,12.272387,0
2021-01-08 00:00:32,566948000,55.574273,4.61712,0.6
2021-01-08 00:00:33,566948000,55.574272,4.617118,0.6
2021-01-08 00:00:34,265513270,57.059,12.272387,0
2021-01-08 00:00:35,219027804,55.94244,11.866287,0
2021-01-08 00:00:36,566948000,55.574268,4.617118,0.6
2021-01-08 00:00:37,219001559,57.592245,9.975478,0.1
2021-01-08 00:00:37,219027804,55.94244,11.866287,0
